Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
1300	3	0.8141500949859619	0	0	0	1	0.94	0	0	11.0	3.0	12.0	3.0	14.0	15.0	57.110325	5.5	314.10678	17.450377	0.019036775	131.9385528564453	0	0	0	0	148.json
2773	3	1.4747232489753515E-4	0	0	0	1	3.77	0	1	13.0	6.0	19.0	8.0	19.0	27.0	114.694046	8.666667	994.0151	55.22306	0.03823135	128.31268310546875	0	0	0	0	731.json
5167	9,11,11,11,11,11,11	0.011253402568399906,0.024606674909591675,0.024606674909591675,0.024606674909591675,0.049506381154060364,0.049165815114974976,0.04925820231437683	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	2,2,2,2,2,2,2	14.82,13.41,13.41,13.41,13.41,6.71,6.71	1,1,1,1,1,1,1	7,7,7,7,5,5,5	21.0,22.0,22.0,22.0,22.0,22.0,22.0	9.0,10.0,10.0,10.0,9.0,9.0,9.0	49.0,53.0,53.0,53.0,51.0,51.0,51.0	11.0,14.0,14.0,14.0,13.0,13.0,13.0	30.0,32.0,32.0,32.0,31.0,31.0,31.0	60.0,67.0,67.0,67.0,64.0,64.0,64.0	294.41342,335.0,335.0,335.0,317.06857,317.06857,317.06857	12.833333,15.4,15.4,15.4,15.888888,15.888888,15.888888	3778.3054,5159.0,5159.0,5159.0,5037.867,5037.867,5037.867	209.90585,286.6111,286.6111,286.6111,279.8815,279.8815,279.8815	0.09813781,0.111666664,0.111666664,0.111666664,0.105689526,0.105689526,0.105689526	105.38304138183594,101.46061706542969,101.46061706542969,101.46061706542969,101.7466812133789,101.7466812133789,101.7466812133789	0,1,279,660,665,3043,3080	0,3,0,0,2,4,2	0,4,0,0,4,8,4	0,55,0,0,29,135,2	183.json
4572	3,3,3,3,3,3,3,3,3,3,3,3,3	0.7839285731315613,0.874309241771698,0.8678339719772339,0.5677812695503235,0.8981398940086365,0.5677812695503235,0.21139097213745117,0.1883281022310257,0.21139097213745117,0.2350306361913681,0.06697424501180649,0.06697424501180649,0.0706401988863945	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1	3.77,3.77,3.77,3.77,3.77,3.77,4.0,4.0,4.0,4.0,3.77,3.77,3.77	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,1,1,1,1,1,1,1	10.0,11.0,11.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0	1.0,2.0,2.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0	14.0,15.0,15.0,17.0,16.0,17.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0	1.0,3.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0	11.0,13.0,13.0,16.0,15.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0	15.0,18.0,18.0,21.0,19.0,21.0,21.0,21.0,21.0,21.0,23.0,23.0,23.0	51.891476,66.60792,66.60792,84.0,74.23092,84.0,85.83672,85.83672,85.83672,85.83672,94.01165,94.01165,94.01165	5.0,8.25,8.25,8.666667,9.75,8.666667,8.125,8.125,8.125,8.125,9.75,9.75,9.75	259.45737,549.5153,549.5153,728.0,723.75146,728.0,697.4234,697.4234,697.4234,697.4234,916.6136,916.6136,916.6136	14.414298,30.52863,30.52863,40.444443,40.208416,40.444443,38.745743,38.745743,38.745743,38.745743,50.922977,50.922977,50.922977	0.017297158,0.022202639,0.022202639,0.028,0.024743639,0.028,0.028612241,0.028612241,0.028612241,0.028612241,0.031337216,0.031337216,0.031337216	132.43687438964844,131.1385955810547,131.1385955810547,129.93223571777344,130.57513427734375,129.93223571777344,129.81976318359375,129.81976318359375,129.81976318359375,129.81976318359375,129.34671020507812,129.34671020507812,129.34671020507812	0,4,4,5,6,8,8,12,27,41,62,64,299	0,2,1,1,1,1,4,4,4,1,1,0,1	0,4,2,2,2,2,7,8,8,2,3,0,2	0,23,5,13,31,31,116,10,10,8,68,0,8	415.json
2585	8,8	0.08334894478321075,0.1713886857032776	2,2	1,1	3,3	2,2	3.12,3.12	1,1	3,3	21.0,21.0	6.0,6.0	42.0,42.0	11.0,11.0	27.0,27.0	53.0,53.0	252.00905,252.00905	19.25,19.25	4851.1743,4851.1743	269.50967,269.50967	0.08400302,0.08400302	108.0998306274414,108.0998306274414	0,1	0,2	0,4	0,38	431.json
2699	2,2	0.14500656723976135,0.14500656723976135	0,0	0,0	0,0	1,1	0.0,0.0	0,0	0,0	11.0,11.0	4.0,4.0	13.0,13.0	4.0,4.0	15.0,15.0	17.0,17.0	66.41714,66.41714	5.5,5.5	365.29425,365.29425	20.294125,20.294125	0.022139046,0.022139046	137.7220458984375,137.7220458984375	0,1	0,0	0,0	0,0	284.json
3964	3,3,3	0.7525098323822021,0.7525098323822021,0.7525098323822021	0,0,0	0,0,0	0,0,0	1,1,1	3.77,3.77,3.77	0,0,0	1,1,1	12.0,12.0,12.0	3.0,3.0,3.0	14.0,14.0,14.0	3.0,3.0,3.0	15.0,15.0,15.0	17.0,17.0,17.0	66.41714,66.41714,66.41714	6.0,6.0,6.0	398.5028,398.5028,398.5028	22.139046,22.139046,22.139046	0.022139046,0.022139046,0.022139046	131.1535186767578,131.1535186767578,131.1535186767578	0,42,42	0,0,0	0,0,0	0,0,0	220.json
3931	12,10,11	0.14930938184261322,0.13467718660831451,0.14510929584503174	2,1,1	2,1,1	4,2,2	4,3,3	8.02,8.8,4.27	2,2,2	5,4,4	25.0,21.0,21.0	3.0,3.0,3.0	54.0,41.0,42.0	9.0,8.0,8.0	28.0,24.0,24.0	63.0,49.0,50.0	302.86337,224.66316,229.24812	37.5,28.0,28.0	11357.377,6290.5684,6418.9473	630.9654,349.476,356.6082	0.10095446,0.07488772,0.07641604	100.11544799804688,104.85218811035156,103.20310974121094	0,1,1186	0,0,11	0,3,21	0,84,120	307.json
4568	3,3,3,3,3,3,3,5,5,6,7,8,9	0.4940894544124603,0.600289523601532,0.4940894544124603,0.4940894544124603,0.5153855085372925,0.5153855085372925,0.5153855085372925,0.4803065359592438,0.5102869272232056,0.34053653478622437,0.18099366128444672,0.09838233143091202,0.042760882526636124	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1	3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.92,3.92,3.77,3.61,3.46,1.66	0,0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,2,2,2,3,3,4,5,6,7	14.0,11.0,14.0,14.0,15.0,15.0,15.0,16.0,16.0,17.0,18.0,19.0,20.0	3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0	16.0,13.0,16.0,16.0,18.0,18.0,18.0,23.0,23.0,26.0,29.0,32.0,35.0	4.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,5.0,6.0,7.0,8.0,9.0	17.0,14.0,17.0,17.0,17.0,17.0,17.0,18.0,18.0,19.0,20.0,21.0,22.0	20.0,17.0,20.0,20.0,21.0,21.0,21.0,28.0,28.0,32.0,36.0,40.0,44.0	81.74926,64.72504,81.74926,81.74926,85.83672,85.83672,85.83672,116.757904,116.757904,135.93369,155.58942,175.69269,196.215	9.333334,7.3333335,9.333334,9.333334,11.25,11.25,11.25,20.0,20.0,25.5,31.5,38.0,45.0	762.99316,474.65027,762.99316,762.99316,965.66315,965.66315,965.66315,2335.1582,2335.1582,3466.309,4901.0664,6676.3223,8829.675	42.388508,26.36946,42.388508,42.388508,53.647953,53.647953,53.647953,129.73102,129.73102,192.57272,272.28146,370.9068,490.53748	0.027249753,0.021575011,0.027249753,0.027249753,0.028612241,0.028612241,0.028612241,0.0389193,0.0389193,0.045311227,0.051863138,0.05856423,0.065405	130.07347106933594,131.28770446777344,130.07347106933594,130.07347106933594,129.81976318359375,129.81976318359375,129.81976318359375,119.94457244873047,119.94457244873047,116.20022583007812,113.0007095336914,110.20561981201172,107.72306823730469	0,1,1,60,60,252,267,296,297,596,1441,1446,3416	0,1,1,0,1,0,0,4,1,1,1,1,1	0,2,2,0,2,0,0,5,2,1,1,1,1	0,13,13,0,5,0,0,79,5,26,41,27,99	530.json
5167	10,13,13,26,13,13,13,15,15,15,15,16,16,17,17,5,17,5,6,6,6,6,6,17,16,16,16,17,8,8,8,8,8,15,14	0.08735039085149765,0.013238213956356049,0.013238213956356049,3.548657987266779E-4,0.013238213956356049,0.018075428903102875,0.018075428903102875,0.01438429020345211,0.021526025608181953,0.02153746224939823,0.025041136890649796,0.055277056992053986,0.06264034658670425,0.05553095415234566,0.17908504605293274,0.3631126284599304,0.05553095415234566,0.06764261424541473,0.0691692978143692,0.07185842096805573,0.07185842096805573,0.07185842096805573,0.07185842096805573,0.013794111087918282,0.026090305298566818,0.02461184747517109,0.022848419845104218,0.01368679478764534,0.0524761825799942,0.05002739652991295,0.050083015114068985,0.054666273295879364,0.07979025691747665,0.10448137670755386,0.06788948178291321	0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2	0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1	0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,3,3,3	2,3,3,5,3,3,3,3,3,3,3,2,2,2,2,1,2,1,1,1,1,1,1,4,4,4,4,4,2,2,2,2,2,3,2	5.6,5.57,5.57,7.28,5.57,5.57,5.57,5.23,5.23,5.23,5.23,8.82,8.82,8.65,8.34,3.77,8.65,3.92,8.0,8.0,8.0,8.0,8.0,5.16,5.16,5.16,5.16,5.16,5.66,5.66,5.66,2.83,2.83,3.52,4.58	1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,0,2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2	5,8,8,10,8,8,8,7,7,7,7,5,5,5,6,4,5,4,4,4,4,4,4,9,8,8,8,9,4,4,5,5,5,5,6	23.0,25.0,25.0,35.0,25.0,25.0,25.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,30.0,20.0,29.0,20.0,20.0,20.0,20.0,20.0,20.0,29.0,29.0,29.0,30.0,31.0,21.0,21.0,23.0,22.0,22.0,28.0,29.0	5.0,6.0,6.0,12.0,6.0,6.0,6.0,8.0,8.0,8.0,8.0,6.0,6.0,7.0,7.0,5.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,7.0,5.0,5.0,5.0,4.0,4.0,6.0,5.0	40.0,58.0,58.0,103.0,58.0,58.0,58.0,67.0,66.0,66.0,66.0,64.0,64.0,67.0,70.0,34.0,67.0,33.0,33.0,33.0,33.0,33.0,33.0,66.0,62.0,62.0,65.0,69.0,36.0,36.0,40.0,37.0,36.0,53.0,56.0	11.0,16.0,16.0,34.0,16.0,16.0,16.0,21.0,21.0,21.0,21.0,15.0,15.0,17.0,18.0,12.0,17.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0,15.0,15.0,16.0,18.0,11.0,11.0,12.0,11.0,11.0,17.0,13.0	28.0,31.0,31.0,47.0,31.0,31.0,31.0,37.0,37.0,37.0,37.0,35.0,35.0,36.0,37.0,25.0,36.0,25.0,25.0,25.0,25.0,25.0,25.0,35.0,35.0,35.0,37.0,38.0,26.0,26.0,28.0,26.0,26.0,34.0,34.0	51.0,74.0,74.0,137.0,74.0,74.0,74.0,88.0,87.0,87.0,87.0,79.0,79.0,84.0,88.0,46.0,84.0,44.0,44.0,44.0,44.0,44.0,44.0,82.0,77.0,77.0,81.0,87.0,47.0,47.0,52.0,48.0,47.0,70.0,69.0	245.1751,366.61053,366.61053,760.97864,366.61053,366.61053,366.61053,458.43192,453.22247,453.22247,453.22247,405.21335,405.21335,434.2737,458.43192,213.61737,434.2737,204.32967,204.32967,204.32967,204.32967,204.32967,204.32967,420.6012,394.95477,394.95477,421.96573,456.5697,220.92067,220.92067,249.98245,225.62112,220.92067,356.1224,351.03494	25.300001,33.333336,33.333336,49.583332,33.333336,33.333336,33.333336,38.0625,38.0625,38.0625,38.0625,36.25,36.25,35.214287,38.571426,24.0,35.214287,22.0,22.0,22.0,22.0,22.0,22.0,38.666668,36.25,36.25,34.285717,39.857143,23.1,23.1,27.6,30.25,30.25,39.666664,37.699997	6202.93,12220.353,12220.353,37731.855,12220.353,12220.353,12220.353,17449.064,17250.781,17250.781,17250.781,14688.983,14688.983,15292.639,17682.373,5126.817,15292.639,4495.2524,4495.2524,4495.2524,4495.2524,4495.2524,4495.2524,16263.247,14317.11,14317.11,14467.397,18197.564,5103.2676,5103.2676,6899.5156,6825.039,6682.85,14126.1875,13234.017	344.60724,678.90845,678.90845,2096.214,678.90845,678.90845,678.90845,969.39246,958.3767,958.3767,958.3767,816.0546,816.0546,849.59106,982.35406,284.82315,849.59106,249.73625,249.73625,249.73625,249.73625,249.73625,249.73625,903.51373,795.395,795.395,803.7443,1010.9758,283.51486,283.51486,383.30643,379.16882,371.26944,784.7882,735.22314	0.08172503,0.122203514,0.122203514,0.25365955,0.122203514,0.122203514,0.122203514,0.15281063,0.15107416,0.15107416,0.15107416,0.13507111,0.13507111,0.1447579,0.15281063,0.07120579,0.1447579,0.06810989,0.06810989,0.06810989,0.06810989,0.06810989,0.06810989,0.14020039,0.1316516,0.1316516,0.14065525,0.1521899,0.07364022,0.07364022,0.08332749,0.07520704,0.07364022,0.11870747,0.117011644	104.62786102294922,98.05545806884766,98.05545806884766,82.56888580322266,98.05545806884766,98.05545806884766,98.05545806884766,94.57496643066406,94.63439178466797,94.63439178466797,94.63439178466797,94.40110778808594,94.40110778808594,93.05883026123047,92.7773208618164,116.80333709716797,93.05883026123047,117.03448486328125,114.08087921142578,114.08087921142578,114.08087921142578,114.08087921142578,114.08087921142578,92.76518249511719,94.07445526123047,94.07445526123047,93.73046112060547,92.33848571777344,108.78446960449219,108.78446960449219,108.14181518554688,108.67498779296875,108.78446960449219,95.8881607055664,97.3106689453125	0,168,279,315,343,380,397,501,519,594,596,599,599,600,601,601,603,603,622,637,660,851,866,880,887,894,895,896,1402,1436,1785,2803,2806,3301,4130	0,4,0,19,5,2,0,5,1,1,1,9,1,2,7,1,13,2,5,1,0,0,0,16,1,1,1,1,4,1,4,1,1,8,6	0,5,0,24,24,4,0,8,2,2,2,17,2,3,8,17,17,16,9,2,0,0,0,20,2,2,2,2,18,2,8,2,2,9,13	0,126,0,424,424,38,0,150,31,11,49,223,10,58,189,356,262,283,30,8,0,0,0,308,51,7,27,50,258,7,103,84,13,200,118	526.json
4666	2,2,2,2,2,3,3,3	0.8194022178649902,0.8194022178649902,0.7586172819137573,0.8550093770027161,0.7586172819137573,0.9458655118942261,0.9752311110496521,0.9752311110496521	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1	0.0,0.0,0.0,0.0,0.0,5.99,6.63,6.63	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	9.0,9.0,11.0,8.0,11.0,11.0,11.0,11.0	1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0	10.0,10.0,12.0,9.0,12.0,12.0,12.0,12.0	1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0	10.0,10.0,13.0,10.0,13.0,13.0,13.0,13.0	11.0,11.0,14.0,11.0,14.0,14.0,14.0,14.0	36.541206,36.541206,51.806156,36.541206,51.806156,51.806156,51.806156,51.806156	4.5,4.5,5.5,4.0,5.5,5.5,5.5,5.5	164.43542,164.43542,284.93387,146.16483,284.93387,284.93387,284.93387,284.93387	9.135302,9.135302,15.829659,8.120268,15.829659,15.829659,15.829659,15.829659	0.012180402,0.012180402,0.01726872,0.012180402,0.01726872,0.01726872,0.01726872,0.01726872	140.82913208007812,140.82913208007812,139.0139617919922,140.82913208007812,139.0139617919922,132.4454345703125,132.4454345703125,132.4454345703125	0,17,98,99,99,102,156,158	0,0,1,1,1,5,0,0	0,0,2,2,2,7,1,0	0,0,38,13,13,82,50,0	403.json
3131	3,3	0.5991870760917664,0.5941937565803528	0,0	0,0	0,0	1,1	3.77,1.89	0,0	1,1	12.0,12.0	2.0,2.0	14.0,14.0	2.0,2.0	14.0,14.0	16.0,16.0	60.91768,60.91768	6.0,6.0	365.50607,365.50607	20.305893,20.305893	0.020305892,0.020305892	131.60296630859375,131.60296630859375	0,1007	0,1	0,2	0,18	577.json
2037	8	0.12444764375686646	0	0	0	2	2.4	1	5	24.0	5.0	41.0	10.0	29.0	51.0	247.75703	24.0	5946.169	330.3427	0.08258568	108.18831634521484	0	0	0	0	44.json
3964	2,2,2	0.9338979721069336,0.9338979721069336,0.9338979721069336	0,0,0	0,0,0	0,0,0	1,1,1	0.0,0.0,0.0	0,0,0	0,0,0	9.0,9.0,9.0	1.0,1.0,1.0	10.0,10.0,10.0	1.0,1.0,1.0	10.0,10.0,10.0	11.0,11.0,11.0	36.541206,36.541206,36.541206	4.5,4.5,4.5	164.43542,164.43542,164.43542	9.135302,9.135302,9.135302	0.012180402,0.012180402,0.012180402	140.82913208007812,140.82913208007812,140.82913208007812	0,42,42	0,0,0	0,0,0	0,0,0	250.json
5648	3,3,3	0.8830332159996033,0.8830332159996033,0.8830332159996033	0,0,0	0,0,0	0,0,0	1,1,1	3.77,3.77,3.77	0,0,0	0,0,0	9.0,9.0,9.0	2.0,2.0,2.0	10.0,10.0,10.0	2.0,2.0,2.0	11.0,11.0,11.0	12.0,12.0,12.0	41.51318,41.51318,41.51318	4.5,4.5,4.5	186.80931,186.80931,186.80931	10.378295,10.378295,10.378295	0.013837727,0.013837727,0.013837727	133.59722900390625,133.59722900390625,133.59722900390625	0,759,1140	0,0,0	0,0,0	0,0,0	927.json
3952	8,8,8,8,13	0.6777524352073669,0.6777524352073669,0.6777524352073669,0.6365768909454346,0.3801121711730957	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	2,2,2,2,3	6.24,6.24,6.24,3.12,2.95	1,1,1,1,1	2,2,2,2,4	18.0,18.0,18.0,17.0,22.0	4.0,4.0,4.0,5.0,9.0	29.0,29.0,29.0,29.0,50.0	6.0,6.0,6.0,9.0,17.0	22.0,22.0,22.0,22.0,31.0	35.0,35.0,35.0,38.0,67.0	156.08011,156.08011,156.08011,169.4584,331.93115	13.5,13.5,13.5,15.299999,20.777777	2107.0815,2107.0815,2107.0815,2592.7134,6896.7915	117.06009,117.06009,117.06009,144.03963,383.1551	0.052026704,0.052026704,0.052026704,0.056486133,0.110643715	110.59112548828125,110.59112548828125,110.59112548828125,110.16349029541016,98.57219696044922	0,30,30,1994,2729	0,0,0,1,5	0,0,0,2,5	0,0,0,81,237	225.json
2109	3	0.5088216662406921	0	0	0	1	1.89	0	1	13.0	4.0	15.0	4.0	17.0	19.0	77.6618	6.5	504.80167	28.044537	0.025887266	130.34019470214844	0	0	0	0	774.json
2591	3,3	0.8300912380218506,0.8302746415138245	0,0	0,0	0,0	1,1	1.89,1.89	0,0	1,1	11.0,11.0	4.0,4.0	14.0,14.0	4.0,4.0	15.0,15.0	18.0,18.0	70.32403,70.32403	5.5,5.5	386.78217,386.78217	21.487898,21.487898	0.023441343,0.023441343	130.85629272460938,130.85629272460938	0,467	0,1	0,2	0,2	719.json
2597	9,4,4,5,5,5,5	0.23880888521671295,0.031007668003439903,0.031320326030254364,0.8139241933822632,0.8155527710914612,0.8011295795440674,0.5964674353599548	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	2,1,1,1,1,1,1	4.66,3.32,3.32,2.99,2.99,2.99,2.99	1,0,0,0,0,0,0	4,2,2,2,2,2,2	29.0,21.0,21.0,22.0,23.0,23.0,23.0	6.0,4.0,4.0,5.0,5.0,5.0,5.0	55.0,28.0,28.0,27.0,28.0,28.0,29.0	10.0,7.0,7.0,8.0,8.0,8.0,9.0	35.0,25.0,25.0,27.0,28.0,28.0,28.0	65.0,35.0,35.0,35.0,36.0,36.0,38.0	333.40338,162.53496,162.53496,166.42107,173.06477,173.06477,182.67949	24.166666,18.375,18.375,17.6,18.4,18.4,20.699999	8057.248,2986.5798,2986.5798,2929.0107,3184.3918,3184.3918,3781.4653	447.62488,165.9211,165.9211,162.72282,176.91066,176.91066,210.0814	0.11113446,0.05417832,0.05417832,0.05547369,0.05768826,0.05768826,0.060893163	104.736328125,121.83938598632812,121.83938598632812,118.10159301757812,117.89804077148438,117.89804077148438,117.61688995361328	0,1,5,13,26,59,62	0,3,1,5,1,1,1	0,12,2,8,2,2,2	0,295,6,96,7,7,14	786.json
2620	12	0.06541818380355835	2	1	3	3	3.32	2	8	29.0	11.0	79.0	19.0	40.0	98.0	521.54895	25.045454	13062.431	725.6906	0.17384966	97.51913452148438	0	0	0	0	359.json
2037	3	0.5215373635292053	0	0	0	1	1.89	0	0	12.0	3.0	16.0	4.0	15.0	20.0	78.13781	8.0	625.1025	34.727917	0.026045937	130.30841064453125	0	0	0	0	47.json
2037	17	0.007992252707481384	0	0	0	5	4.31	3	4	29.0	8.0	68.0	12.0	37.0	80.0	416.7563	21.75	9064.449	503.5805	0.13891876	92.58293914794922	0	0	0	0	70.json
4273	6,6,6	2.896458900067955E-4,0.0,0.0	0,1,1	0,1,1	0,2,2	1,2,2	3.77,8.54,4.99	0,0,0	1,2,2	19.0,22.0,22.0	6.0,6.0,6.0	30.0,33.0,33.0	10.0,10.0,10.0	25.0,28.0,28.0	40.0,43.0,43.0	185.75424,206.71626,206.71626	15.833333,18.333332,18.333332	2941.109,3789.7979,3789.7979	163.39494,210.54433,210.54433	0.06191808,0.06890542,0.06890542	114.57649230957031,113.79048919677734,113.79048919677734	0,286,2149	0,2,1	0,4,2	0,55,59	564.json
3931	3	0.5256512761116028	0	0	0	1	3.77	0	1	14.0	2.0	18.0	3.0	16.0	21.0	84.0	10.5	882.0	49.0	0.028	129.93223571777344	0	0	0	0	296.json
5167	3,3,3,3,3,3,3,3	0.0076697999611496925,0.0028701843693852425,0.0028701843693852425,0.0028701843693852425,0.01593353971838951,0.0032074993941932917,0.003778889076784253,0.02093317173421383	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1	3.77,3.77,3.77,3.77,3.77,3.77,3.77,1.89	0,0,0,0,0,0,0,0	2,2,2,2,2,2,3,2	12.0,16.0,16.0,16.0,15.0,18.0,17.0,16.0	6.0,5.0,5.0,5.0,3.0,3.0,3.0,2.0	19.0,23.0,23.0,23.0,22.0,27.0,25.0,22.0	7.0,6.0,6.0,6.0,4.0,4.0,4.0,3.0	18.0,21.0,21.0,21.0,18.0,21.0,20.0,18.0	26.0,29.0,29.0,29.0,26.0,31.0,29.0,25.0	108.41805,127.377205,127.377205,127.377205,108.41805,136.16183,125.335915,104.24813	7.0,9.6,9.6,9.6,10.0,12.0,11.333334,12.0	758.9264,1222.8212,1222.8212,1222.8212,1084.1805,1633.942,1420.4738,1250.9775	42.16258,67.93451,67.93451,67.93451,60.232254,90.77456,78.91521,69.49875	0.03613935,0.042459067,0.042459067,0.042459067,0.03613935,0.04538728,0.04177864,0.034749378	128.60531616210938,127.76728820800781,127.76728820800781,127.76728820800781,128.60531616210938,127.42049407958984,127.8512954711914,128.8092498779297	0,274,279,660,693,936,974,2570	0,1,0,0,1,1,1,1	0,2,0,0,2,2,2,2	0,3,0,0,7,19,12,33	753.json
5167	7,7,7,7,8,6,6,6,6,7,7,8,13	0.2920115292072296,0.2920115292072296,0.2920115292072296,0.17954538762569427,0.42298540472984314,0.16818872094154358,0.16357485949993134,0.16357485949993134,0.16357485949993134,0.1166040301322937,0.15731167793273926,0.15990838408470154,0.1249680146574974	0,0,0,0,0,0,0,0,0,0,0,0,3	0,0,0,0,0,0,0,0,0,0,0,0,2	0,0,0,0,0,0,0,0,0,0,0,0,5	2,2,2,2,2,2,2,2,2,2,2,2,3	7.41,7.41,7.41,5.11,6.65,5.5,5.5,5.5,5.5,7.92,7.92,3.71,2.29	0,0,0,0,0,0,0,0,0,0,0,1,1	4,4,4,5,5,6,6,6,6,6,6,6,13	21.0,21.0,21.0,23.0,23.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,32.0	6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0	35.0,35.0,35.0,38.0,38.0,33.0,33.0,33.0,33.0,34.0,33.0,34.0,71.0	10.0,10.0,10.0,10.0,10.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,15.0	27.0,27.0,27.0,29.0,29.0,25.0,25.0,25.0,25.0,26.0,25.0,25.0,38.0	45.0,45.0,45.0,48.0,48.0,41.0,41.0,41.0,41.0,43.0,41.0,42.0,86.0	213.96994,213.96994,213.96994,233.1831,233.1831,190.3981,190.3981,190.3981,190.3981,202.11891,190.3981,195.04196,451.32178	17.5,17.5,17.5,19.166666,19.166666,16.0,16.0,16.0,16.0,15.0,16.0,16.0,40.0	3744.4739,3744.4739,3744.4739,4469.343,4469.343,3046.3696,3046.3696,3046.3696,3046.3696,3031.7837,3046.3696,3120.6714,18052.871	208.02632,208.02632,208.02632,248.29681,248.29681,169.24275,169.24275,169.24275,169.24275,168.43243,169.24275,173.37064,1002.93726	0.07132331,0.07132331,0.07132331,0.077727705,0.077727705,0.063466035,0.063466035,0.063466035,0.063466035,0.06737297,0.063466035,0.06501399,0.15044059	111.1139144897461,111.1139144897461,111.1139144897461,110.6667709350586,108.5035629272461,114.21808624267578,114.21808624267578,114.21808624267578,114.21808624267578,111.41020202636719,111.7208480834961,109.43232727050781,96.97447967529297	0,279,397,434,599,622,658,660,888,894,2036,2422,3866	0,0,0,2,7,4,1,0,0,1,1,8,10	0,0,0,4,10,11,2,0,0,2,2,15,12	0,0,0,21,115,212,8,0,0,15,11,73,383	578.json
2037	4	0.9303640723228455	0	0	0	1	2.0	0	1	12.0	2.0	15.0	2.0	14.0	17.0	64.72504	6.0	388.35022	21.575012	0.021575011	126.62725830078125	0	0	0	0	115.json
